Sensor Position: [0, 1,57, 50]

--- Ray 0 ---
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0

--- Ray 1 ---
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
1,65, 0,62, 53,52, 95,39917, 4,425366
1,65, 0,62, 53,52, 96,29903, 3,795201
1,65, 0,62, 53,52, 97,19889, 3,322851
1,65, 0,62, 53,52, 98,09875, 2,955714
1,65, 0,62, 53,52, 98,99861, 2,662225
1,65, 0,62, 53,52, 99,89847, 2,4223
1,65, 0,62, 53,52, 169,1544, 2,327984
1,65, 0,62, 53,52, 168,2579, 2,335269
1,65, 0,62, 53,52, 167,361, 2,34318
1,65, 0,62, 53,52, 166,4637, 2,351727
1,65, 0,62, 53,52, 165,5661, 2,360921
1,65, 0,62, 53,52, 164,6682, 2,370775
1,65, 0,62, 53,52, 163,77, 2,381301
1,65, 0,62, 53,52, 162,8717, 2,392514
1,65, 0,62, 53,52, 161,9732, 2,404429
1,65, 0,62, 53,52, 161,0746, 2,417063
1,65, 0,62, 53,52, 160,1758, 2,430434
1,65, 0,62, 53,52, 159,2769, 2,444559
1,65, 0,62, 53,52, 158,378, 2,45946
1,65, 0,62, 53,52, 157,479, 2,475158
1,65, 0,62, 53,52, 156,5799, 2,491677
1,65, 0,62, 53,52, 155,6807, 2,509041
1,65, 0,62, 53,52, 154,7815, 2,527277
1,65, 0,62, 53,52, 153,8822, 2,546412
1,65, 0,62, 53,52, 152,9829, 2,566478
1,65, 0,62, 53,52, 152,0835, 2,587505
1,65, 0,62, 53,52, 151,1842, 2,609529
1,65, 0,62, 53,52, 150,2847, 2,632587
1,65, 0,62, 53,52, 149,3853, 2,656717
1,65, 0,62, 53,52, 148,4858, 2,681962
1,65, 0,62, 53,52, 147,5863, 2,708365
1,65, 0,62, 53,52, 146,6867, 2,735975
1,65, 0,62, 53,52, 145,7872, 2,764843
1,65, 0,62, 53,52, 144,8876, 2,795024
1,65, 0,62, 53,52, 143,988, 2,826576
1,65, 0,62, 53,52, 143,0884, 2,859562
1,65, 0,62, 53,52, 142,1888, 2,89405
1,65, 0,62, 53,52, 141,2891, 2,930111
1,65, 0,62, 53,52, 140,3895, 2,967824
1,65, 0,62, 53,52, 139,4898, 3,007272
1,65, 0,62, 53,52, 138,5901, 3,048545
1,65, 0,62, 53,52, 137,6904, 3,091741
1,65, 0,62, 53,52, 136,7907, 3,136963
1,65, 0,62, 53,52, 135,891, 3,184325
1,65, 0,62, 53,52, 134,9913, 3,233949
1,65, 0,62, 53,52, 134,0916, 3,285968
1,65, 0,62, 53,52, 133,1918, 3,340525
1,65, 0,62, 53,52, 132,2921, 3,397778
1,65, 0,62, 53,52, 131,3923, 3,457895
1,65, 0,62, 53,52, 130,4926, 3,521062
1,65, 0,62, 53,52, 129,5928, 3,587482
1,65, 0,62, 53,52, 128,693, 3,657376
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
